Municipality Code,State Code,Region,State,Municipality,Population,Adult Population,Adult Population (Women),Adult Population (Men),Type of Population,Social Lag Index,Banking Agents,Bank Branches,ATMs,POS Terminals,Businesses with POS Terminals,Accounts with Mobile Transactions,ATM Transactions,POS Transactions,Banking - Savings Accounts,Banking - Term Deposit Accounts,Banking - Transactional Accounts Level 1,Banking - Transactional Accounts Level 2,Banking - Transactional Accounts Level 3,Banking - Transactional Accounts Level 4,Banking - Debit Card Accounts,EACP - Savings Accounts,EACP - Term Deposit Accounts,EACP - Demand Deposit Accounts,EACP - Debit Card Accounts,Total - Total Accounts,Banking - Credit Cards,Banking - Personal Loans,Banking - Payroll Loans,Banking - ABCD Loans,Banking - Group Loans,Banking - Mortgage Loans,Banking - Auto Loans,EACP - Credit Cards,EACP - Consumer Loans,EACP - Housing Loans,EACP - Commercial Loans,Total - Total Loans
14097,14,Occidente y Bajío,Jalisco,Tlajomulco de Zúñiga,727750,511639,260973,250666,Semi-metrópoli,Muy bajo,330,63,268,3317,2298,348294,730018,756831,6514,3820,8,15312,91,249907,367095,64261,18792,99782,61087,458487,132344,40515,27450,17783,3197,19192,8133,63615,25587,147,1800,337963
14098,14,Occidente y Bajío,Jalisco,Tlaquepaque,687127,507240,259427,247813,Semi-metrópoli,Muy bajo,329,69,265,3540,2551,405396,904755,796273,7056,7658,2,42547,169,454870,705207,38810,20914,96878,52231,668904,186089,44952,31032,18021,5152,14277,9008,57175,22942,227,1845,388875
14099,14,Occidente y Bajío,Jalisco,Tolimán,11219,7849,4020,3829,En Transición,Bajo,0,3,6,8,8,2133,13116,146,0,4,0,45,0,249,1922,6747,423,2358,76,9826,448,195,202,91,46,2,16,52,1675,1,161,2728
14100,14,Occidente y Bajío,Jalisco,Tomatlán,36316,25717,12713,13004,Semi-urbano,Bajo,17,15,21,169,157,16002,42753,22260,0,56,0,623,1,12164,24905,21883,4385,16342,528,55454,5233,2209,1063,628,1110,10,168,553,5622,8,1819,16604
14101,14,Occidente y Bajío,Jalisco,Tonalá,569913,412861,211138,201723,Semi-metrópoli,Muy bajo,218,51,128,1795,1485,285823,489041,311784,4152,3591,0,9695,54,198888,321486,96573,13753,113712,41851,440418,106068,42989,22752,16108,3776,6354,5254,43142,43329,270,1960,290042
14102,14,Occidente y Bajío,Jalisco,Tonaya,5961,4588,2393,2195,En Transición,Muy bajo,3,2,3,14,15,1738,5898,1243,0,0,0,0,0,0,131,5370,1196,389,157,6955,735,214,72,27,9,2,16,146,902,7,112,2130
14103,14,Occidente y Bajío,Jalisco,Tonila,7565,5717,2885,2832,En Transición,Muy bajo,7,4,3,16,14,2570,4184,2392,0,4,0,10,0,171,760,3168,315,4200,169,7868,434,739,283,54,7,8,24,159,1130,1,630,2839
14104,14,Occidente y Bajío,Jalisco,Totatiche,4180,3145,1580,1565,Rural,Muy bajo,2,0,1,12,12,774,1229,1133,0,0,0,4,0,1516,19184,434,62,285,80,2301,191,132,44,35,0,1,9,75,144,4,21,635
14105,14,Occidente y Bajío,Jalisco,Tototlán,23573,16932,8642,8290,Semi-urbano,Muy bajo,2,5,8,51,39,6217,24207,5690,0,285,0,73,0,7918,4932,5207,293,1955,556,15731,2492,3323,465,432,3,35,78,322,1416,3,144,8569
14106,14,Occidente y Bajío,Jalisco,Tuxcacuesco,5482,3945,1942,2003,En Transición,Bajo,1,2,10,8,7,1248,16142,165,0,0,0,10,0,101,813,4752,261,291,38,5415,308,142,92,41,0,2,14,28,684,1,103,1312
14107,14,Occidente y Bajío,Jalisco,Tuxcueca,6702,4678,2421,2257,En Transición,Muy bajo,3,3,3,15,14,2259,563,3155,0,2,0,8,0,209,1196,2660,281,1770,149,4930,456,510,132,89,30,21,21,96,999,0,78,2354
14108,14,Occidente y Bajío,Jalisco,Tuxpan,37518,27558,14360,13198,Semi-urbano,Muy bajo,15,10,15,77,71,18623,52056,10224,0,455,0,1466,0,21083,39077,17085,2323,12658,1221,55070,11135,4866,1992,368,400,1965,182,1239,6743,17,597,28907
14109,14,Occidente y Bajío,Jalisco,Unión de San Antonio,19069,13602,7069,6533,Semi-urbano,Bajo,4,2,2,27,27,3111,10687,4811,0,0,0,32,0,375,1678,12152,358,5784,304,18701,638,662,403,460,45,5,32,247,1554,272,207,4318
14110,14,Occidente y Bajío,Jalisco,Unión de Tula,13799,10230,5343,4887,En Transición,Muy bajo,9,7,7,97,85,9443,18786,10538,0,461,0,787,0,22538,13854,10492,3210,8466,716,45954,2374,1657,491,72,356,19,53,264,2909,15,338,8210
14111,14,Occidente y Bajío,Jalisco,Valle de Guadalupe,6627,4797,2465,2332,En Transición,Muy bajo,1,2,3,20,18,1239,2404,3360,0,1,0,122,0,70,934,276,871,3412,127,4752,284,124,184,39,29,5,5,121,483,4,53,1278
14112,14,Occidente y Bajío,Jalisco,Valle de Juárez,6151,4608,2405,2203,En Transición,Muy bajo,2,2,7,53,51,9467,9934,5579,0,139,0,588,0,10177,15664,672,54,257,116,11887,3258,250,75,21,10,6,32,136,279,1,14,4068
14113,14,Occidente y Bajío,Jalisco,San Gabriel,16548,11872,6035,5837,Semi-urbano,Bajo,9,6,8,34,33,5016,22626,3398,1945,83,0,3057,0,14944,1820,11105,2523,8222,269,41879,1598,460,426,139,117,18,46,252,3979,29,988,7064
14114,14,Occidente y Bajío,Jalisco,Villa Corona,19063,13870,7041,6829,Semi-urbano,Muy bajo,6,3,4,57,46,6215,17798,9473,799,246,0,126,0,5262,6319,6187,1099,4655,488,18374,1725,1244,610,275,68,23,69,418,1316,0,332,5748
14115,14,Occidente y Bajío,Jalisco,Villa Guerrero,5525,3896,1984,1912,En Transición,Bajo,2,2,2,17,16,697,3527,1881,0,1,0,5,0,189,1276,2148,178,1782,37,4303,163,42,62,13,1,1,5,27,478,49,61,841
14116,14,Occidente y Bajío,Jalisco,Villa Hidalgo,20088,14265,7554,6711,Semi-urbano,Muy bajo,8,7,11,510,491,9891,24764,20155,0,279,0,288,0,9439,9179,1123,213,1616,463,12958,3803,1837,214,276,54,18,146,467,182,0,77,6997
14117,14,Occidente y Bajío,Jalisco,Cañadas de Obregón,4388,3290,1662,1628,Rural,Bajo,1,2,2,3,3,320,3259,304,0,194,0,878,0,2197,6524,64,78,762,47,4173,86,18,39,16,0,4,2,39,176,0,11,380
14118,14,Occidente y Bajío,Jalisco,Yahualica de González Gallo,22394,16975,9006,7969,Semi-urbano,Muy bajo,8,6,8,107,103,7869,29887,16329,0,286,0,556,0,15563,24430,6017,380,3281,435,26083,5902,284,491,16,0,9,96,380,1287,62,145,8527
14119,14,Occidente y Bajío,Jalisco,Zacoalco de Torres,30472,22287,11137,11150,Semi-urbano,Muy bajo,13,8,10,110,103,18885,32866,9828,0,453,0,2869,0,17625,31210,3970,510,1853,806,27280,4252,2765,1201,122,267,21,133,705,1990,2,129,11458
14120,14,Occidente y Bajío,Jalisco,Zapopan,1476491,1111849,576103,535746,Metrópoli,Muy bajo,819,249,1049,22995,14705,1146140,2575296,5154025,34731,34559,0,165811,1114,1514966,1901158,123405,71677,256978,144628,2203241,665032,107992,72194,26324,5710,46850,33155,167653,46894,442,2864,1172246
14121,14,Occidente y Bajío,Jalisco,Zapotiltic,33713,25182,12815,12367,Semi-urbano,Muy bajo,20,9,16,73,72,17860,44064,5215,796,362,0,1208,1,13767,23445,28244,2095,2701,1091,49174,5354,3122,1273,885,113,84,183,1113,9773,40,337,21940
14122,14,Occidente y Bajío,Jalisco,Zapotitlán de Vadillo,7466,5328,2646,2682,En Transición,Bajo,2,3,3,4,3,1163,4210,135,0,164,0,772,0,1633,7878,5025,333,125,53,8052,248,91,180,44,65,25,11,51,943,1,598,1659
14123,14,Occidente y Bajío,Jalisco,Zapotlán del Rey,19279,13920,7036,6884,Semi-urbano,Muy bajo,4,2,2,11,10,6612,2511,791,0,115,0,1786,0,1558,12249,2461,91,1134,299,7145,1082,2020,597,544,53,5,38,279,865,2,252,5485
14124,14,Occidente y Bajío,Jalisco,Zapotlanejo,64806,46389,23874,22515,Urbano,Muy bajo,33,16,27,482,437,42937,79343,38403,1366,986,0,1755,1,37404,46294,13380,906,8291,2708,64089,17135,9927,1378,2990,219,150,468,2758,4171,214,805,39410
14125,14,Occidente y Bajío,Jalisco,San Ignacio Cerro Gordo,18341,12758,6677,6081,Semi-urbano,Muy bajo,5,6,4,38,36,6968,14145,5110,0,71,0,422,0,5096,8481,1787,287,1248,349,8911,1774,597,229,290,1,4,55,267,300,4,56,3521
15001,15,Centro Sur y Oriente,México,Acambay,67872,47683,25306,22377,Urbano,Medio,11,12,20,271,96,35333,57060,8995,0,1096,0,484,0,22979,27409,4565,583,3531,788,33238,3561,10986,1354,2209,1103,9,152,664,1572,0,1021,21610
15002,15,Centro Sur y Oriente,México,Acolman,171507,131464,65453,66011,Urbano,Muy bajo,49,9,31,288,247,76315,143362,64784,0,761,0,15001,0,67407,99988,3662,3204,15355,10071,105390,18582,22108,6616,10599,7246,365,845,9165,856,0,630,76382
15003,15,Centro Sur y Oriente,México,Aculco,49266,35108,18191,16917,Semi-urbano,Bajo,8,6,10,77,72,16234,25709,6916,0,92,0,116,0,10089,21745,9582,1079,7516,713,28474,1487,7521,1323,1341,816,7,81,521,3000,13,777,16110
15004,15,Centro Sur y Oriente,México,Almoloya de Alquisiras,15333,10789,5824,4965,Semi-urbano,Bajo,4,2,2,17,14,5718,5268,1970,0,268,0,72,0,8690,10952,30,133,580,181,9773,834,2334,377,627,144,1,16,137,12,0,0,4482
15005,15,Centro Sur y Oriente,México,Almoloya de Juárez,174587,124932,62874,62058,Urbano,Bajo,53,9,20,319,286,63179,68980,44634,0,966,0,2630,0,38095,86914,2253,1587,15188,4870,60719,12548,26855,5870,7245,8517,445,563,4363,1312,2,308,67720
15006,15,Centro Sur y Oriente,México,Almoloya del Río,12694,9230,4823,4407,En Transición,Muy bajo,4,1,3,6,6,5784,6836,1359,0,64,0,15,0,3140,3813,305,200,1070,542,4794,1020,2149,537,708,241,7,60,510,86,0,39,5318
15007,15,Centro Sur y Oriente,México,Amanalco,23675,16283,8429,7854,Semi-urbano,Medio,4,3,4,8,8,10526,12025,1644,0,58,0,122,0,6074,12476,2501,292,1328,354,10375,846,5238,396,1093,308,3,50,212,531,2,220,8679
15008,15,Centro Sur y Oriente,México,Amatepec,25244,17964,9358,8606,Semi-urbano,Bajo,5,3,6,32,29,4269,17257,2565,0,244,0,3385,0,1459,14202,88,69,402,216,5647,644,1071,579,360,194,5,30,192,35,1,19,3111
15009,15,Centro Sur y Oriente,México,Amecameca,53441,40472,21510,18962,Urbano,Muy bajo,17,10,29,252,206,45241,132755,20159,0,1552,0,2732,7,59583,93097,1777,1412,6492,2786,73555,14398,11137,2981,5137,1915,118,320,2570,457,1,442,39034
15010,15,Centro Sur y Oriente,México,Apaxco,31898,23595,12102,11493,Semi-urbano,Muy bajo,12,5,16,74,67,23658,56730,9141,0,505,0,2750,1,27971,40082,656,587,2377,1178,34847,9993,5515,1323,2430,1126,9,234,1046,131,2,160,21809
15011,15,Centro Sur y Oriente,México,Atenco,75489,55811,28713,27098,Urbano,Muy bajo,11,2,7,117,103,32571,28409,18857,0,99,0,119,0,8015,14955,1505,963,5608,3640,16309,6407,10235,2304,5211,2780,6,300,3020,314,0,397,30577
15012,15,Centro Sur y Oriente,México,Atizapán,12984,9247,4863,4384,En Transición,Bajo,9,2,4,37,28,5816,11459,10615,0,2,0,45,0,758,21979,266,158,963,508,2192,3699,2300,458,1040,168,141,87,402,78,1,53,8374
15013,15,Centro Sur y Oriente,México,Atizapán de Zaragoza,523674,413825,216035,197790,Semi-metrópoli,Muy bajo,233,66,260,3381,2682,385639,758421,814983,7086,11953,0,38532,176,452870,643869,24497,22172,80077,49025,637363,215211,64127,31397,19443,6284,9304,9449,55026,10200,7,1527,420448
15014,15,Centro Sur y Oriente,México,Atlacomulco,109384,78059,41550,36509,Urbano,Bajo,66,27,77,1064,781,80081,240024,151675,1625,3390,0,10486,25,139371,216245,10953,2275,10014,3907,178139,27674,23475,5224,5365,3751,289,638,3729,2775,6,1540,72926
15015,15,Centro Sur y Oriente,México,Atlautla,31900,23182,12010,11172,Semi-urbano,Bajo,4,1,3,26,25,11361,9796,2798,0,25,0,89,0,1227,6564,803,397,2036,862,4577,1646,4375,989,1739,1010,22,93,760,143,0,202,10777
15016,15,Centro Sur y Oriente,México,Axapusco,29128,21430,11031,10399,Semi-urbano,Muy bajo,7,1,2,35,33,11372,2408,6793,0,4,0,16,0,497,1765,395,410,1738,983,3060,2205,3430,882,1384,1071,6,110,795,90,0,75,9973
15017,15,Centro Sur y Oriente,México,Ayapango,10053,7430,3912,3518,En Transición,Muy bajo,1,0,1,11,10,3860,941,1402,0,0,0,0,0,0,301,314,149,894,422,1357,670,1482,327,811,300,2,45,362,80,1,144,4080
15018,15,Centro Sur y Oriente,México,Calimaya,68489,50552,26185,24367,Urbano,Muy bajo,25,4,15,172,134,27583,31619,57063,0,220,0,3688,0,12110,39060,799,1725,9710,3857,28252,10422,8346,3315,2445,1851,3552,689,3950,721,0,108,35291
15019,15,Centro Sur y Oriente,México,Capulhuac,36921,27219,14228,12991,Semi-urbano,Muy bajo,14,1,4,52,51,14915,10071,7679,0,34,0,25,0,1358,4659,667,561,3113,1501,5758,3615,4368,1251,2727,863,34,219,1269,170,0,111,14516
15020,15,Centro Sur y Oriente,México,Coacalco de Berriozábal,293444,236153,124152,112001,Urbano,Muy bajo,126,33,137,2013,1522,254697,499999,469331,5445,7586,0,23769,47,287741,434323,11257,23973,114494,33593,474312,106768,40240,21998,14033,7932,3818,4867,41158,4107,12,539,244933
15021,15,Centro Sur y Oriente,México,Coatepec Harinas,38643,25945,13788,12157,Semi-urbano,Bajo,10,4,10,42,37,13741,21916,4439,0,966,0,249,0,17584,18276,154,90,633,359,19676,6038,7029,523,1863,611,14,88,294,24,0,11,16484
15022,15,Centro Sur y Oriente,México,Cocotitlán,15107,11387,5935,5452,Semi-urbano,Muy bajo,3,1,4,40,35,7424,13179,8608,0,3,0,71,0,769,3658,548,307,1635,921,3333,1749,2677,1186,856,626,3,120,722,117,0,97,8056
15023,15,Centro Sur y Oriente,México,Coyotepec,40885,29844,15438,14406,Semi-urbano,Muy bajo,4,4,5,91,83,24856,23923,28590,0,332,0,2588,0,13560,37750,1337,898,4753,2525,23468,3700,7586,2688,3364,1687,13,339,1980,289,0,384,21646
15024,15,Centro Sur y Oriente,México,Cuautitlán,178847,139787,71724,68063,Urbano,Muy bajo,88,25,131,1435,922,127961,477166,188937,2861,4413,0,30577,59,233138,360027,4138,5743,24498,16076,305427,50764,22699,9443,9647,3715,3409,2196,17571,2434,2,313,121880
15025,15,Centro Sur y Oriente,México,Chalco,400057,293820,153516,140304,Semi-metrópoli,Muy bajo,112,35,102,1442,1235,255281,525260,335143,2652,6993,0,31240,32,337524,577422,15728,9028,45606,28094,448803,66722,64891,18717,24877,15665,1962,2288,26584,3810,3,2385,225519
15026,15,Centro Sur y Oriente,México,Chapa de Mota,31737,22400,11579,10821,Semi-urbano,Bajo,3,2,6,51,31,9737,9353,6418,0,44,0,413,0,3048,10087,913,221,965,402,5604,917,5168,1126,1393,815,2,81,253,62,0,161,9817
15027,15,Centro Sur y Oriente,México,Chapultepec,12772,9413,4929,4484,En Transición,Muy bajo,5,1,3,11,11,5739,13667,1941,0,0,0,60,0,530,3490,177,140,1729,761,2636,1375,1582,819,542,266,104,108,737,145,0,14,5678
15028,15,Centro Sur y Oriente,México,Chiautla,30045,22650,11773,10877,Semi-urbano,Muy bajo,12,3,4,101,87,16899,12077,9581,0,100,0,111,0,10040,15999,740,617,3083,1858,14691,5601,5976,1031,2460,1781,59,273,1660,200,0,281,19041
15029,15,Centro Sur y Oriente,México,Chicoloapan,200750,150579,78555,72024,Urbano,Muy bajo,64,13,43,587,457,134835,200926,126820,2669,1182,0,6729,0,117905,175478,6390,3672,23781,16880,162328,31967,34049,10293,16892,9196,737,1217,16558,1828,0,571,122737
15030,15,Centro Sur y Oriente,México,Chiconcuac,27692,20614,10726,9888,Semi-urbano,Muy bajo,14,6,11,208,187,27306,50107,13746,0,386,0,762,0,26934,22432,562,348,2542,1450,31534,6530,5610,757,2282,1459,1,282,1354,201,0,191,18476
15031,15,Centro Sur y Oriente,México,Chimalhuacán,705193,512876,265917,246959,Semi-metrópoli,Muy bajo,116,28,74,1373,1015,350992,393227,132726,0,3158,0,58938,0,304967,602860,21619,14205,65205,47770,468092,86250,109314,26773,60409,26830,240,2435,41720,5197,1,2936,359169
15032,15,Centro Sur y Oriente,México,Donato Guerra,37436,24684,12746,11938,Semi-urbano,Medio,1,4,3,18,18,12076,11457,2397,0,80,0,1289,0,18944,55328,4522,176,1755,354,26766,845,3583,434,1006,470,135,56,195,1256,0,425,7980
15033,15,Centro Sur y Oriente,México,Ecatepec de Morelos,1645352,1285180,668987,616193,Metrópoli,Muy bajo,435,122,558,10876,5226,1123608,2173169,1464327,21115,29268,0,100059,160,1225550,1739206,39116,44378,202066,144535,1661712,418649,217394,95432,80072,44945,5387,13925,152077,15536,11,4113,1043428
15034,15,Centro Sur y Oriente,México,Ecatzingo,10827,7545,3897,3648,En Transición,Bajo,1,2,3,7,7,4309,7458,38,0,25,0,73,0,2985,4943,175,45,487,223,3790,442,2166,452,356,435,8,18,170,33,0,67,4080
15035,15,Centro Sur y Oriente,México,Huehuetoca,163244,117140,60710,56430,Urbano,Muy bajo,51,12,70,438,388,100195,337240,99521,0,1202,0,3689,0,103979,182061,4241,2708,17315,12380,133134,23382,32425,7605,12637,5054,1411,907,11134,1099,0,563,95654
15036,15,Centro Sur y Oriente,México,Hueypoxtla,46757,34163,17469,16694,Semi-urbano,Bajo,8,4,7,45,38,14976,16028,7438,0,168,0,1446,0,4888,19706,734,608,2498,1487,10342,2291,5100,1100,2043,2338,27,152,1124,84,0,102,14259
15037,15,Centro Sur y Oriente,México,Huixquilucan,284965,221509,117123,104386,Urbano,Muy bajo,101,58,188,3953,2253,285481,368117,1009915,4602,6651,0,11293,79,198721,303724,5063,11665,38204,24699,276278,156664,34556,19020,8704,6796,5930,9665,25629,2093,0,1180,269057
15038,15,Centro Sur y Oriente,México,Isidro Fabela,11929,8761,4550,4211,En Transición,Bajo,3,2,1,16,15,5630,4886,546,0,78,0,49,0,3920,4299,2466,456,1201,471,8170,744,2008,452,612,354,2,42,396,748,0,11,5358
15039,15,Centro Sur y Oriente,México,Ixtapaluca,542211,411266,214638,196628,Semi-metrópoli,Muy bajo,143,46,160,1660,1215,351519,651949,378093,1957,5937,0,24453,35,332601,521702,36469,13115,69721,43526,484288,96377,83083,26905,30337,18697,1840,3880,43669,8882,2,2073,313672
15040,15,Centro Sur y Oriente,México,Ixtapan de la Sal,36911,26357,14016,12341,Semi-urbano,Bajo,22,7,19,183,135,23386,56174,30650,0,1650,0,743,0,37363,48172,376,241,1726,1042,42099,10593,6330,1308,1460,898,90,133,993,80,0,33,21885
15041,15,Centro Sur y Oriente,México,Ixtapan del Oro,6475,4377,2198,2179,En Transición,Medio,1,2,3,0,0,1409,3119,0,0,1,0,10,0,35,481,1222,19,431,89,1718,152,345,93,128,105,2,8,28,329,0,86,1190
15042,15,Centro Sur y Oriente,México,Ixtlahuaca,160139,115576,61096,54480,Urbano,Bajo,40,18,58,354,308,67916,215383,69047,0,2146,0,10745,9,98002,197642,5993,2327,7181,3102,126403,20208,31220,5062,7551,4436,72,409,2590,479,0,1715,72027
15043,15,Centro Sur y Oriente,México,Xalatlaco,30687,21969,11388,10581,Semi-urbano,Bajo,3,2,4,18,17,9622,9239,1635,0,78,0,239,0,7965,15902,451,347,1318,850,10398,1673,2915,711,1406,454,6,117,669,68,0,72,8019
15044,15,Centro Sur y Oriente,México,Jaltenco,28217,21570,11327,10243,Semi-urbano,Muy bajo,6,1,8,61,52,14665,34102,12181,0,22,0,58,0,669,4720,732,401,3200,2217,5082,3558,4437,1492,1923,1230,63,204,2089,222,0,113,15218
15045,15,Centro Sur y Oriente,México,Jilotepec,87671,64768,33571,31197,Urbano,Bajo,34,16,57,440,332,60082,208731,57955,0,2034,0,9349,15,78237,138677,5668,1311,5678,2456,102292,17735,15689,4519,5598,2320,59,454,2055,1143,8,451,49580
15046,15,Centro Sur y Oriente,México,Jilotzingo,19877,14715,7645,7070,Semi-urbano,Muy bajo,6,2,15,86,75,7616,65051,6565,0,1,0,0,0,0,1132,203,295,1494,1039,1993,2339,2345,940,641,245,209,127,999,133,0,16,7978
15047,15,Centro Sur y Oriente,México,Jiquipilco,76826,53556,28649,24907,Urbano,Bajo,8,5,6,63,58,28681,16061,5590,0,58,0,1444,0,12590,34215,4175,990,3522,1384,22779,2625,14246,1631,2946,2434,8,115,879,413,0,962,25297
15048,15,Centro Sur y Oriente,México,Jocotitlán,69264,50741,26833,23908,Urbano,Bajo,26,5,17,158,92,23398,34977,24925,0,485,0,4187,0,12340,45255,2033,1049,3758,1625,23852,4004,10517,3311,3392,1482,26,241,1341,411,0,396,24725
15049,15,Centro Sur y Oriente,México,Joquicingo,15428,10849,5642,5207,Semi-urbano,Bajo,4,1,4,11,11,3863,5299,672,0,0,0,22,0,357,2182,246,106,558,256,1289,573,1151,378,473,252,4,42,184,25,0,35,3082
15050,15,Centro Sur y Oriente,México,Juchitepec,27116,19601,10163,9438,Semi-urbano,Bajo,8,4,6,47,44,11384,19506,5992,0,108,0,162,0,8556,15241,850,522,1901,782,12099,2905,4869,705,1422,1147,1,95,679,108,0,193,11931
15051,15,Centro Sur y Oriente,México,Lerma,170327,126367,64605,61762,Urbano,Muy bajo,63,20,177,1492,824,97949,443447,238363,1992,2393,2,7800,62,129532,162393,2468,4074,18335,8938,166658,34392,18043,8220,7775,4739,1990,1526,8692,1312,1,305,86690
15052,15,Centro Sur y Oriente,México,Malinalco,28155,20193,10398,9795,Semi-urbano,Bajo,10,4,13,104,90,12551,35080,3891,0,774,0,215,0,17248,17169,384,219,3094,1000,21934,1990,3960,450,1662,388,50,72,425,511,0,116,9508
15053,15,Centro Sur y Oriente,México,Melchor Ocampo,61220,45505,23560,21945,Urbano,Muy bajo,27,2,9,117,103,32744,41182,20423,0,194,0,103,0,10650,17184,1388,1255,6500,4439,20090,8376,9667,3442,5218,1924,716,615,4169,524,0,259,34651
15054,15,Centro Sur y Oriente,México,Metepec,242307,191846,101312,90534,Urbano,Muy bajo,163,57,234,4003,2778,237364,587193,857513,7373,9385,0,54452,154,318737,362478,4397,12429,60971,21977,467898,115826,28599,18765,8888,4953,4567,4980,23942,4607,3,426,215130
15055,15,Centro Sur y Oriente,México,Mexicaltzingo,13807,10242,5296,4946,En Transición,Muy bajo,6,1,3,77,64,6265,15453,34066,0,15,0,50,0,4461,6255,250,288,1813,708,6877,1809,2133,547,902,745,130,137,706,119,0,60,7228
15056,15,Centro Sur y Oriente,México,Morelos,33164,23066,12202,10864,Semi-urbano,Medio,7,6,8,20,18,10925,15741,3054,0,250,0,954,0,2424,20321,1582,343,977,399,6530,674,3364,653,809,572,303,54,225,171,0,155,6825
15057,15,Centro Sur y Oriente,México,Naucalpan de Juárez,834434,660141,346061,314080,Semi-metrópoli,Muy bajo,330,157,647,16096,6800,764737,1765582,2178947,21748,32766,0,99438,863,1028799,1348218,14202,31507,108464,74754,1337787,381268,125767,51595,29642,15867,7274,12233,80560,7265,5,2227,711476
15058,15,Centro Sur y Oriente,México,Nezahualcóyotl,1077208,860754,450256,410498,Metrópoli,Muy bajo,212,85,316,5033,4241,820985,1393317,953407,19347,23099,0,77256,111,782107,993757,30177,36206,146276,99608,1114579,296349,165881,64052,56649,32871,2272,9495,108554,11560,16,3386,747699
15059,15,Centro Sur y Oriente,México,Nextlalpan,57082,40509,21004,19505,Urbano,Muy bajo,29,1,4,169,161,24064,16994,21615,0,6,0,109,0,1249,6400,1185,1176,6585,4492,10310,4361,7326,1544,3835,2565,606,330,4019,370,0,122,24956
15060,15,Centro Sur y Oriente,México,Nicolás Romero,430601,325334,168444,156890,Semi-metrópoli,Muy bajo,108,24,87,1061,838,234220,407543,238746,1822,3966,0,15738,4,190370,320957,14212,9598,45782,30027,281492,69141,60650,21416,24216,8462,1749,3255,28812,4953,4,1131,222658
15061,15,Centro Sur y Oriente,México,Nopaltepec,10351,7711,3952,3759,En Transición,Muy bajo,7,1,3,20,13,4973,4821,4461,0,3,0,22,0,355,2788,176,144,850,489,1550,1084,1618,397,552,732,3,43,462,26,0,25,4917
15062,15,Centro Sur y Oriente,México,Ocoyoacac,72103,54294,28115,26179,Urbano,Muy bajo,36,6,33,500,409,39360,103954,92571,0,790,0,2416,34,26634,56081,962,1638,7562,3955,40036,13791,11346,3448,5144,1482,603,632,3648,430,0,118,40524
15063,15,Centro Sur y Oriente,México,Ocuilan,36223,25047,13048,11999,Semi-urbano,Bajo,13,3,4,33,34,12690,11202,2380,0,222,0,2436,0,1890,22443,276,150,1050,503,6024,1410,3472,462,1063,1035,3,66,462,62,0,90,8035
15064,15,Centro Sur y Oriente,México,"Oro, El",36937,26363,13768,12595,Semi-urbano,Bajo,8,5,9,61,62,62136,19405,5078,0,771,0,956,0,14946,25688,6176,555,2779,709,26183,1975,7911,1137,1682,1450,10,94,587,1640,1,258,16487
15065,15,Centro Sur y Oriente,México,Otumba,36331,27080,13565,13515,Semi-urbano,Muy bajo,18,5,9,108,77,16824,45071,6560,1328,551,0,207,0,26982,31008,790,548,2590,1451,32996,6740,5129,1068,1800,1510,12,192,1263,117,0,237,17831
15066,15,Centro Sur y Oriente,México,Otzoloapan,4891,3301,1704,1597,Rural,Bajo,0,1,3,2,2,1689,1928,1,0,1,0,23,0,51,590,11,3,66,34,155,180,258,77,110,1,1,10,23,9,0,0,669
15067,15,Centro Sur y Oriente,México,Otzolotepec,88783,64257,33175,31082,Urbano,Bajo,22,5,10,110,97,34074,45066,19213,0,153,0,384,0,9810,23771,1928,961,6354,2827,19590,5153,9951,3577,3336,3091,626,302,2495,499,0,388,29030
15068,15,Centro Sur y Oriente,México,Ozumba,30785,22505,11914,10591,Semi-urbano,Bajo,8,6,7,76,68,12535,27786,3767,0,524,0,2249,0,20661,62302,888,427,2323,1032,27072,4448,4923,1006,1841,1087,5,87,874,141,0,166,14412
15069,15,Centro Sur y Oriente,México,Papalotla,4862,3686,1944,1742,Rural,Muy bajo,1,1,1,7,7,3071,1589,67,0,0,0,0,0,0,273,123,203,599,361,925,902,998,216,487,260,17,53,339,26,0,61,3298
15070,15,Centro Sur y Oriente,México,"Paz, La",304088,225407,117159,108248,Semi-metrópoli,Muy bajo,65,28,93,966,776,188696,380431,225843,1488,5651,0,16339,20,261577,384248,25944,11059,32013,20532,354091,56990,43586,12131,18017,10070,355,1574,19480,5464,3,1032,167670
15071,15,Centro Sur y Oriente,México,Polotitlán,14985,10966,5664,5302,En Transición,Muy bajo,11,3,7,83,73,5606,17833,25682,0,64,0,88,0,937,4834,6835,637,3482,670,12043,806,1043,401,401,274,4,52,334,2440,28,51,5783
15072,15,Centro Sur y Oriente,México,Rayón,15972,11732,6102,5630,Semi-urbano,Muy bajo,4,3,10,28,21,6946,19151,4270,0,25,0,45,0,3578,14351,182,218,1927,663,5975,1695,4034,998,844,226,103,79,615,150,0,12,8744
15073,15,Centro Sur y Oriente,México,San Antonio La Isla,31962,23303,12208,11095,Semi-urbano,Muy bajo,11,2,10,85,41,14893,31030,29062,0,71,0,75,0,5779,9630,525,489,4556,2067,11495,3957,4370,2001,1149,570,440,271,2326,371,0,49,15455
15074,15,Centro Sur y Oriente,México,San Felipe del Progreso,144924,97548,51965,45583,Urbano,Medio,31,15,21,169,159,49015,98021,15220,0,1368,0,9608,8,48202,152618,3222,1209,3828,1441,67445,5042,17624,2308,3226,2331,7,174,1099,525,1,444,32337
