ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,P_5YMAS,P_12YMAS,P_15YMAS,P_18YMAS
08,Chihuahua,027,Guachochi,0000,Total del Municipio,45048,37024,33408,30424
08,Chihuahua,028,Guadalupe,0000,Total del Municipio,3930,3410,3151,2852
08,Chihuahua,029,Guadalupe y Calvo,0000,Total del Municipio,44298,35377,31783,28674
08,Chihuahua,030,Guazapares,0000,Total del Municipio,7210,5825,5277,4851
08,Chihuahua,031,Guerrero,0000,Total del Municipio,32490,28216,26280,24398
08,Chihuahua,032,Hidalgo del Parral,0000,Total del Municipio,107106,93257,87407,81592
08,Chihuahua,033,Huejotitán,0000,Total del Municipio,752,657,621,589
08,Chihuahua,034,Ignacio Zaragoza,0000,Total del Municipio,4860,4351,4090,3866
08,Chihuahua,035,Janos,0000,Total del Municipio,9838,8216,7553,6913
08,Chihuahua,036,Jiménez,0000,Total del Municipio,37091,31806,29548,27361
08,Chihuahua,037,Juárez,0000,Total del Municipio,1396238,1212522,1127670,1044895
08,Chihuahua,038,Julimes,0000,Total del Municipio,4558,3982,3743,3512
08,Chihuahua,039,López,0000,Total del Municipio,3818,3328,3095,2881
08,Chihuahua,040,Madera,0000,Total del Municipio,22832,19740,18283,16941
08,Chihuahua,041,Maguarichi,0000,Total del Municipio,1164,998,915,862
08,Chihuahua,042,Manuel Benavides,0000,Total del Municipio,1110,1013,979,925
08,Chihuahua,043,Matachí,0000,Total del Municipio,2544,2258,2135,2012
08,Chihuahua,044,Matamoros,0000,Total del Municipio,3978,3461,3245,3051
08,Chihuahua,045,Meoqui,0000,Total del Municipio,41143,35554,33077,30646
08,Chihuahua,046,Morelos,0000,Total del Municipio,6333,5095,4639,4221
08,Chihuahua,047,Moris,0000,Total del Municipio,3948,3359,3092,2843
08,Chihuahua,048,Namiquipa,0000,Total del Municipio,20891,18215,17003,15958
08,Chihuahua,049,Nonoava,0000,Total del Municipio,2536,2180,2011,1865
08,Chihuahua,050,Nuevo Casas Grandes,0000,Total del Municipio,60370,52200,48589,45074
08,Chihuahua,051,Ocampo,0000,Total del Municipio,7216,5921,5399,4994
08,Chihuahua,052,Ojinaga,0000,Total del Municipio,22341,19479,18257,17102
08,Chihuahua,053,Praxedis G. Guerrero,0000,Total del Municipio,4665,4083,3786,3484
08,Chihuahua,054,Riva Palacio,0000,Total del Municipio,6893,5853,5414,4951
08,Chihuahua,055,Rosales,0000,Total del Municipio,15557,13655,12795,11880
08,Chihuahua,056,Rosario,0000,Total del Municipio,1949,1756,1666,1565
08,Chihuahua,057,San Francisco de Borja,0000,Total del Municipio,2073,1856,1748,1657
08,Chihuahua,058,San Francisco de Conchos,0000,Total del Municipio,2503,2239,2115,1985
08,Chihuahua,059,San Francisco del Oro,0000,Total del Municipio,4591,3943,3694,3456
08,Chihuahua,060,Santa Bárbara,0000,Total del Municipio,10469,9037,8468,7950
08,Chihuahua,061,Satevó,0000,Total del Municipio,3229,2925,2760,2624
08,Chihuahua,062,Saucillo,0000,Total del Municipio,27497,24056,22396,20818
08,Chihuahua,063,Temósachic,0000,Total del Municipio,4900,4277,4003,3743
08,Chihuahua,064,El Tule,0000,Total del Municipio,1347,1188,1125,1061
08,Chihuahua,065,Urique,0000,Total del Municipio,15082,12354,11182,10249
08,Chihuahua,066,Uruachi,0000,Total del Municipio,5873,4907,4519,4134
08,Chihuahua,067,Valle de Zaragoza,0000,Total del Municipio,4407,3878,3638,3425
09,Ciudad de México,002,Azcapotzalco,0000,Total del Municipio,410780,377144,361474,345123
09,Ciudad de México,003,Coyoacán,0000,Total del Municipio,587692,543990,522992,500374
09,Ciudad de México,004,Cuajimalpa de Morelos,0000,Total del Municipio,203315,181693,172263,162395
09,Ciudad de México,005,Gustavo A. Madero,0000,Total del Municipio,1109855,1007795,960772,911482
09,Ciudad de México,006,Iztacalco,0000,Total del Municipio,384051,350684,335205,319021
09,Ciudad de México,007,Iztapalapa,0000,Total del Municipio,1731943,1550672,1468256,1383459
09,Ciudad de México,008,La Magdalena Contreras,0000,Total del Municipio,234567,211148,200201,189047
09,Ciudad de México,009,Milpa Alta,0000,Total del Municipio,142323,124381,116360,108278
09,Ciudad de México,010,Álvaro Obregón,0000,Total del Municipio,719830,653085,622262,590251
09,Ciudad de México,011,Tláhuac,0000,Total del Municipio,368453,326890,308117,288877
09,Ciudad de México,012,Tlalpan,0000,Total del Municipio,664540,599895,570245,539464
09,Ciudad de México,013,Xochimilco,0000,Total del Municipio,417099,373104,352920,332325
09,Ciudad de México,014,Benito Juárez,0000,Total del Municipio,417473,393387,382872,372085
09,Ciudad de México,015,Cuauhtémoc,0000,Total del Municipio,519786,480461,462349,444024
09,Ciudad de México,016,Miguel Hidalgo,0000,Total del Municipio,388565,359069,346049,332956
09,Ciudad de México,017,Venustiano Carranza,0000,Total del Municipio,420142,382101,365208,347576
10,Durango,001,Canatlán,0000,Total del Municipio,28756,24706,23070,21461
10,Durango,002,Canelas,0000,Total del Municipio,3816,3141,2885,2646
10,Durango,003,Coneto de Comonfort,0000,Total del Municipio,3668,3076,2818,2575
10,Durango,004,Cuencamé,0000,Total del Municipio,31636,26811,24805,22926
10,Durango,005,Durango,0000,Total del Municipio,629696,541021,505256,469120
10,Durango,006,General Simón Bolívar,0000,Total del Municipio,9022,7613,7010,6436
10,Durango,007,Gómez Palacio,0000,Total del Municipio,337790,290021,270289,250675
10,Durango,008,Guadalupe Victoria,0000,Total del Municipio,33671,28946,26984,25047
10,Durango,009,Guanaceví,0000,Total del Municipio,8800,7492,6962,6514
